STATION,NAME,Year_Start,Year_End,Annual_Max,Annual_Min
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1871-10-27,1872-10-26,101.0,3.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1872-10-27,1873-10-26,101.0,-6.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1873-10-27,1874-10-26,102.0,9.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1874-10-27,1875-10-26,98.0,-3.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1875-10-27,1876-10-26,98.0,8.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1876-10-27,1877-10-26,98.0,-3.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1877-10-27,1878-10-26,98.0,0.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1878-10-27,1879-10-26,102.0,0.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1879-10-27,1880-10-26,98.0,13.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1880-10-27,1881-10-26,104.0,-14.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1881-10-27,1882-10-26,95.0,8.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1882-10-27,1883-10-26,97.0,8.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1883-10-27,1884-10-26,97.0,2.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1884-10-27,1885-10-26,99.0,2.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1885-10-27,1886-10-26,92.0,-2.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1886-10-27,1887-10-26,103.0,6.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1887-10-27,1888-10-26,97.0,9.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1888-10-27,1889-10-26,93.0,4.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1889-10-27,1890-10-26,98.0,13.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1890-10-27,1891-10-26,95.0,16.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1891-10-27,1892-10-26,99.0,4.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1892-10-27,1893-10-26,97.0,-6.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1893-10-27,1894-10-26,98.0,11.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1894-10-27,1895-10-26,98.0,0.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1895-10-27,1896-10-26,98.0,8.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1896-10-27,1897-10-26,97.0,8.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1897-10-27,1898-10-26,101.0,2.0
USW00093725,"WASHINGTON DC WEATHER BUREAU CITY, MD US",1898-10-27,1899-10-26,97.0,-15.0
