STATION,NAME,Year_Start,Year_End,Annual_Max,Annual_Min
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1925-10-27,1926-10-26,89.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1926-10-27,1927-10-26,93.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1927-10-27,1928-10-26,99.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1928-10-27,1929-10-26,95.0,35.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1929-10-27,1930-10-26,92.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1930-10-27,1931-10-26,99.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1931-10-27,1932-10-26,100.0,35.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1932-10-27,1933-10-26,92.0,27.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1933-10-27,1934-10-26,95.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1934-10-27,1935-10-26,89.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1935-10-27,1936-10-26,91.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1936-10-27,1937-10-26,89.0,30.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1937-10-27,1938-10-26,89.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1938-10-27,1939-10-26,97.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1939-10-27,1940-10-26,84.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1940-10-27,1941-10-26,89.0,42.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1941-10-27,1942-10-26,93.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1942-10-27,1943-10-26,96.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1943-10-27,1944-10-26,91.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1944-10-27,1945-10-26,87.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1945-10-27,1946-10-26,91.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1946-10-27,1947-10-26,92.0,35.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1947-10-27,1948-10-26,84.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1948-10-27,1949-10-26,92.0,32.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1949-10-27,1950-10-26,90.0,35.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1950-10-27,1951-10-26,89.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1951-10-27,1952-10-26,90.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1952-10-27,1953-10-26,89.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1953-10-27,1954-10-26,93.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1954-10-27,1955-10-26,88.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1955-10-27,1956-10-26,91.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1956-10-27,1957-10-26,88.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1957-10-27,1958-10-26,92.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1958-10-27,1959-10-26,92.0,43.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1959-10-27,1960-10-26,95.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1960-10-27,1961-10-26,101.0,35.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1961-10-27,1962-10-26,88.0,32.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1962-10-27,1963-10-26,88.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1963-10-27,1964-10-26,92.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1964-10-27,1965-10-26,90.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1965-10-27,1966-10-26,95.0,35.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1966-10-27,1967-10-26,87.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1967-10-27,1968-10-26,96.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1968-10-27,1969-10-26,82.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1969-10-27,1970-10-26,92.0,42.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1970-10-27,1971-10-26,101.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1971-10-27,1972-10-26,92.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1972-10-27,1973-10-26,93.0,30.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1973-10-27,1974-10-26,89.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1974-10-27,1975-10-26,93.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1975-10-27,1976-10-26,96.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1976-10-27,1977-10-26,85.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1977-10-27,1978-10-26,92.0,44.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1978-10-27,1979-10-26,98.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1979-10-27,1980-10-26,97.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1980-10-27,1981-10-26,89.0,42.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1981-10-27,1982-10-26,87.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1982-10-27,1983-10-26,98.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1983-10-27,1984-10-26,100.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1984-10-27,1985-10-26,99.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1985-10-27,1986-10-26,91.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1986-10-27,1987-10-26,102.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1987-10-27,1988-10-26,103.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1988-10-27,1989-10-26,97.0,31.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1989-10-27,1990-10-26,92.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1990-10-27,1991-10-26,96.0,28.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1991-10-27,1992-10-26,94.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1992-10-27,1993-10-26,99.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1993-10-27,1994-10-26,96.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1994-10-27,1995-10-26,99.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1995-10-27,1996-10-26,99.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1996-10-27,1997-10-26,97.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1997-10-27,1998-10-26,86.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1998-10-27,1999-10-26,92.0,34.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",1999-10-27,2000-10-26,103.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2000-10-27,2001-10-26,101.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2001-10-27,2002-10-26,91.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2002-10-27,2003-10-26,97.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2003-10-27,2004-10-26,96.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2004-10-27,2005-10-26,87.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2005-10-27,2006-10-26,87.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2006-10-27,2007-10-26,88.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2007-10-27,2008-10-26,97.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2008-10-27,2009-10-26,96.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2009-10-27,2010-10-26,98.0,38.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2010-10-27,2011-10-26,88.0,37.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2011-10-27,2012-10-26,94.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2012-10-27,2013-10-26,88.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2013-10-27,2014-10-26,92.0,36.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2014-10-27,2015-10-26,95.0,41.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2015-10-27,2016-10-26,92.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2016-10-27,2017-10-26,106.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2017-10-27,2018-10-26,83.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2018-10-27,2019-10-26,97.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2019-10-27,2020-10-26,100.0,42.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2020-10-27,2021-10-26,85.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2021-10-27,2022-10-26,98.0,40.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2022-10-27,2023-10-26,87.0,39.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2023-10-27,2024-10-26,97.0,42.0
USW00023272,"SAN FRANCISCO DOWNTOWN, CA US",2024-10-27,2025-10-26,88.0,42.0
